#{"t_start": 1686263762.3673801, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
30.0,1922,5.410571
90.0,1730,30.617756
75.0,1156,55.651434
115.0,3602,65.68926
70.0,1882,71.110828
70.0,1882,76.966226
70.0,1882,82.13202
70.0,1882,87.162246
140.0,2278,114.126493
60.0,1526,138.983973
20.0,2008,143.936512
50.0,1906,148.549927
50.0,1906,153.216058
50.0,1906,157.994334
50.0,1906,162.783588
120.0,1668,188.183341
155.0,2238,215.01836
105.0,2412,242.580721
130.0,2424,248.328046
130.0,2424,254.19147
130.0,2424,260.043868
130.0,2424,265.899336
255.0,2866,294.962821
120.0,2138,322.000082
90.0,2076,327.115449
90.0,2076,332.282274
90.0,2076,337.48536
90.0,2076,342.666348
90.0,2076,348.311133
105.0,2028,375.067613
110.0,1568,400.568478
120.0,1564,426.132691
125.0,3526,434.722983
125.0,3526,443.058298
125.0,3526,451.54807
125.0,3526,459.994527
75.0,1646,485.8261
360.0,2872,514.780767
240.0,2712,521.384012
105.0,2888,528.306419
105.0,2888,535.226628
105.0,2888,542.335239
105.0,2888,549.252986
140.0,2028,575.68064
135.0,2146,602.545527
30.0,1198,626.943571
65.0,1746,631.231924
65.0,1746,635.493537
65.0,1746,639.711941
65.0,1746,643.976471
135.0,1584,647.971105
105.0,1524,673.324551
240.0,3704,704.2455
100.0,1960,708.956992
100.0,1960,713.828014
100.0,1960,718.547892
100.0,1960,725.625706
180.0,1770,752.1616
60.0,1226,755.201546
210.0,2458,783.275605
115.0,1946,788.028575
115.0,1946,792.734309
115.0,1946,797.413349
115.0,1946,802.064408
120.0,1930,828.997202
185.0,2410,879.116053
365.0,3300,887.324619
130.0,1834,891.858926
130.0,1834,896.45145
130.0,1834,900.941166
130.0,1834,905.332339
165.0,2262,932.692619
190.0,3720,963.871551
230.0,3078,971.331676
230.0,3078,978.852748
230.0,3078,986.364726
230.0,3078,993.832312
105.0,1372,1019.484257
165.0,2038,1046.101861
55.0,1166,1070.565129
70.0,2090,1075.833067
130.0,1876,1080.36415
130.0,1876,1084.958141
130.0,1876,1089.616538
130.0,1876,1094.197774
55.0,1120,1097.010467
140.0,1246,1121.560331
195.0,2106,1148.645576
240.0,2986,1155.862639
160.0,3908,1165.312235
160.0,3908,1174.710819
160.0,3908,1184.14977
160.0,3908,1193.611935
120.0,1876,1219.625668
55.0,1670,1245.260288
110.0,2030,1271.976865
45.0,1396,1275.31362
45.0,1396,1278.634317
45.0,1396,1282.069809
45.0,1396,1285.429806
255.0,2926,1316.78646
220.0,2240,1344.222789
140.0,2740,1350.859327
140.0,2740,1357.524985
140.0,2740,1364.326212
140.0,2740,1370.960537
170.0,2722,1399.274693
140.0,1454,1424.085296
125.0,2026,1450.481743
25.0,1180,1453.365267
25.0,1180,1456.2303
25.0,1180,1459.105274
25.0,1180,1461.926846
95.0,1714,1466.16244
55.0,1060,1490.049294
210.0,2482,1517.574493
60.0,2714,1524.100971
60.0,2714,1530.647515
60.0,2714,1537.195538
60.0,2714,1543.76439
125.0,2650,1571.944773
155.0,1882,1597.714332
80.0,1088,1600.242353
60.0,1878,1604.847265
60.0,1878,1609.318063
60.0,1878,1614.024898
60.0,1878,1618.682015
160.0,1958,1644.949478
80.0,1158,1669.232672
215.0,2856,1697.900542
130.0,2340,1703.550642
130.0,2340,1709.260033
130.0,2340,1714.8485
130.0,2340,1720.402541
335.0,2366,1747.527614
60.0,1596,1773.137477
145.0,1994,1778.024275
90.0,1928,1782.773406
90.0,1928,1787.461488
90.0,1928,1792.080488
90.0,1928,1796.797386
105.0,1410,1821.64352
165.0,2344,1848.545768
380.0,2074,1874.761857
55.0,1198,1877.651857
55.0,1198,1880.643139
55.0,1198,1883.478139
55.0,1198,1886.465171
160.0,2338,1913.830193
155.0,2070,1940.028871
165.0,2372,1945.901416
330.0,2826,1952.850055
330.0,2826,1960.029506
330.0,2826,1967.462918
330.0,2826,1974.811326
145.0,2424,2002.930523
140.0,1948,2031.483243
250.0,3361,2063.326556
25.0,1894,2068.365237
25.0,1894,2072.879575
25.0,1894,2077.497134
25.0,1894,2082.113532
105.0,2268,2109.943683
60.0,1568,2113.948579
315.0,4228,2146.028054
115.0,2008,2151.067688
115.0,2008,2156.342934
115.0,2008,2161.257147
115.0,2008,2166.172937
170.0,1910,2192.197784
150.0,1852,2218.042462
65.0,1490,2242.372807
125.0,2538,2248.498677
125.0,2538,2254.554744
125.0,2538,2260.743957
125.0,2538,2266.86164
335.0,2644,2294.693108
195.0,2018,2320.728422
40.0,1138,2323.478648
130.0,1940,2328.193208
130.0,1940,2332.877179
130.0,1940,2337.585664
