#{"t_start": 1686222541.5092618, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,1900,27.798473
155.0,2096,51.339712
510.0,3690,81.383301
120.0,1854,85.2148
120.0,1854,88.995403
120.0,1854,92.798139
120.0,1854,96.410285
110.0,2262,120.638147
210.0,2772,145.819805
105.0,1972,149.888112
105.0,1972,153.905543
105.0,1972,157.941744
105.0,1972,161.974147
105.0,1972,165.975688
480.0,3556,250.074726
110.0,1910,253.521532
110.0,1910,256.801486
110.0,1910,260.099896
110.0,1910,263.398653
110.0,1910,266.647148
110.0,1910,270.950504
110.0,1910,277.975772
110.0,1910,283.532793
110.0,1910,286.985881
