#{"t_start": 1686532997.2181435, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
65.0,1152,1.154292
185.0,1936,2.81339
110.0,1912,4.282408
260.0,3456,6.96639
45.0,1156,7.819391
80.0,1712,9.162829
180.0,2956,11.502799
285.0,3728,54.453901
75.0,1712,55.980904
210.0,3248,58.710328
295.0,2966,61.206997
295.0,2966,63.721121
295.0,2966,66.30856
500.0,4158,69.841995
50.0,1764,71.555996
80.0,1634,73.036517
240.0,2426,75.114021
105.0,1600,76.506609
415.0,2062,78.318169
210.0,2252,80.254192
135.0,1820,121.010009
10.0,1082,121.907007
85.0,1860,123.340028
125.0,1984,124.873011
135.0,1960,126.409007
435.0,3476,128.958198
215.0,3024,131.276199
245.0,2536,133.1532
320.0,3450,135.775219
245.0,2536,137.658551
105.0,1418,138.803954
250.0,3171,141.239057
90.0,1272,142.265151
210.0,1890,143.704646
130.0,1914,183.834773
75.0,1854,185.30078
65.0,1470,186.457772
180.0,1958,187.922874
620.0,4354,191.257878
165.0,2078,192.839879
210.0,3666,195.619935
210.0,3666,198.396913
210.0,3666,201.123912
400.0,2982,203.431608
45.0,1316,204.420606
150.0,2352,206.419604
155.0,2374,246.849237
180.0,1974,248.352393
285.0,2858,250.615415
120.0,1976,252.072394
450.0,2836,254.334394
140.0,2116,255.910656
30.0,1120,256.71965
170.0,1908,258.22675
110.0,2460,260.067247
420.0,3594,262.900471
700.0,4984,266.741482
110.0,2460,268.586121
50.0,1538,269.872144
180.0,2348,310.3972
180.0,2150,312.011199
250.0,2456,313.941257
205.0,2378,315.751522
60.0,1526,316.932777
215.0,2438,318.820798
370.0,2112,320.42395
65.0,1322,321.48895
30.0,1016,360.879876
135.0,2036,362.506876
165.0,2152,364.137967
165.0,2152,365.814968
30.0,1182,366.706966
170.0,2766,368.772976
320.0,3318,371.405092
135.0,1900,372.884367
210.0,2548,374.853844
240.0,2916,377.103845
385.0,2766,379.221847
355.0,2244,419.644444
210.0,3064,422.092438
320.0,4002,425.08444
190.0,2368,426.886441
30.0,1018,427.585467
190.0,2368,429.420899
50.0,1018,430.161904
240.0,2362,432.037905
120.0,2004,433.646957
135.0,2060,435.2759
135.0,2102,436.900901
305.0,2988,478.056825
215.0,2858,480.397989
615.0,4268,483.669879
105.0,1174,484.586894
245.0,3932,487.864874
170.0,1950,489.454312
185.0,2384,491.316561
170.0,2098,492.887847
170.0,1950,494.404818
330.0,2858,496.579729
210.0,2040,498.208082
230.0,2722,539.050095
35.0,1648,540.344992
135.0,1806,541.791991
180.0,2346,543.597987
200.0,2824,545.816988
125.0,1736,547.158994
180.0,1892,548.608987
280.0,3622,551.399992
205.0,2400,553.251988
205.0,2400,555.153989
245.0,2732,557.219992
245.0,2732,559.315008
135.0,2406,561.215572
390.0,3688,602.957412
200.0,2556,604.924772
210.0,3864,607.946637
185.0,2094,609.591799
405.0,3626,612.386801
180.0,2254,614.140798
155.0,1892,615.579803
260.0,2706,617.616303
155.0,1892,619.055298
560.0,5796,623.451798
50.0,1058,663.688459
260.0,2864,665.952459
210.0,2406,667.784647
210.0,2392,669.637896
120.0,1360,670.719892
230.0,2488,672.634914
210.0,2382,674.597256
210.0,2326,715.692598
410.0,2696,717.839094
385.0,2590,719.737094
130.0,1578,720.945365
145.0,2010,722.503921
55.0,1134,723.336834
145.0,2010,724.856053
210.0,2612,726.936053
135.0,2118,728.521049
105.0,1612,729.799051
180.0,2440,731.666005
165.0,1944,733.154027
120.0,1968,734.708007
65.0,1348,774.631491
120.0,2050,776.191882
180.0,1908,777.672885
240.0,2446,779.603234
185.0,2430,781.44187
440.0,3066,783.729319
185.0,2430,785.572558
440.0,3066,787.92577
215.0,2502,789.821796
440.0,4400,793.207474
180.0,2456,795.135477
155.0,2228,796.876475
210.0,2812,838.240252
155.0,2206,839.901536
255.0,2806,842.01352
410.0,2710,844.070616
350.0,2452,845.992882
210.0,2558,847.882002
180.0,2074,849.445999
180.0,2168,851.093
180.0,2074,852.643479
135.0,2146,854.381757
180.0,2132,855.986756
265.0,3028,897.224924
210.0,2444,899.136404
210.0,2400,900.983404
210.0,2408,902.811459
425.0,2852,904.991608
195.0,2360,906.871609
410.0,3284,909.382629
180.0,2538,911.23561
225.0,3080,913.557839
355.0,2490,915.417217
355.0,2490,917.290214
135.0,1706,918.691211
210.0,2420,959.432551
155.0,2508,961.359553
310.0,3334,963.920551
155.0,2080,965.539571
105.0,1552,966.77355
285.0,2958,969.036552
385.0,2652,1010.343189
125.0,1210,1011.242189
290.0,3788,1014.153187
210.0,2538,1016.062646
210.0,2538,1018.057642
290.0,3788,1020.833919
285.0,2834,1023.124077
600.0,4184,1026.31131
300.0,3464,1029.006305
260.0,2892,1031.236636
285.0,2784,1072.236036
135.0,1504,1073.367043
180.0,2466,1075.307653
105.0,1704,1076.540652
65.0,1240,1077.500041
65.0,1240,1078.482037
65.0,1240,1079.393038
125.0,1156,1080.266037
135.0,1592,1081.573365
185.0,2356,1083.403122
210.0,2398,1085.251104
215.0,2586,1087.364102
130.0,2228,1089.338224
470.0,2968,1130.820603
315.0,2727,1132.872649
185.0,2130,1134.503668
120.0,1928,1135.939646
115.0,1502,1137.105647
65.0,1078,1137.968095
65.0,1078,1138.766097
115.0,1502,1139.890092
395.0,2364,1141.821091
155.0,2372,1143.605094
65.0,1200,1144.533096
210.0,2426,1185.706409
140.0,2052,1187.293256
240.0,2988,1189.617824
490.0,2936,1191.917054
410.0,2488,1193.854157
240.0,2900,1196.042154
195.0,2868,1198.248152
195.0,2868,1200.383941
195.0,2868,1202.49994
260.0,4690,1206.054941
210.0,2206,1207.805938
210.0,2494,1248.584597
240.0,2926,1250.835602
415.0,2728,1252.949599
210.0,2384,1254.832215
315.0,4116,1257.971714
160.0,2192,1259.651714
120.0,1504,1260.791055
135.0,2124,1262.447077
135.0,2042,1263.936049
420.0,3422,1266.522553
355.0,2570,1268.458944
240.0,2990,1309.999203
515.0,4024,1313.085855
225.0,2532,1315.088322
120.0,1744,1316.356324
135.0,2072,1318.003328
210.0,2392,1319.872677
260.0,2812,1361.063081
260.0,3420,1363.682086
185.0,2544,1365.683565
265.0,2570,1367.635679
515.0,3860,1370.588388
135.0,2396,1372.35288
410.0,2582,1374.484954
315.0,3172,1376.897993
620.0,4142,1380.103112
325.0,2892,1382.405487
110.0,2154,1423.541367
260.0,2782,1425.723784
265.0,2812,1427.881254
285.0,4502,1431.316284
110.0,1962,1432.795256
110.0,1962,1434.303673
35.0,1644,1435.550646
475.0,3012,1438.002781
410.0,2388,1439.880779
355.0,3244,1442.455049
120.0,1872,1483.582816
130.0,1690,1484.959135
150.0,1926,1486.498131
120.0,1626,1487.72413
210.0,2372,1489.629635
105.0,1806,1491.007633
315.0,3178,1493.422635
275.0,2750,1495.469316
325.0,3966,1498.482316
120.0,1694,1499.773321
110.0,1942,1501.206316
240.0,2760,1503.45832
240.0,2734,1505.567339
210.0,2734,1547.31793
180.0,2542,1549.224389
235.0,2552,1551.198366
180.0,2274,1552.919365
180.0,1810,1554.325837
210.0,2396,1556.11981
180.0,2394,1557.910809
375.0,3970,1560.88888
305.0,4186,1564.018337
375.0,3970,1567.010469
210.0,2410,1568.823467
260.0,2872,1610.580812
285.0,2802,1612.754812
250.0,3364,1615.363815
590.0,4440,1618.795874
260.0,2808,1620.98688
485.0,2760,1623.091855
470.0,5135,1666.004865
230.0,3298,1668.492863
165.0,2476,1670.390253
225.0,5392,1674.380768
165.0,2476,1676.215918
260.0,2852,1678.49092
