#{"t_start": 1686272874.1651495, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
45.0,1480,4.618947
210.0,2406,10.946463
80.0,1956,59.048365
275.0,4726,70.850655
275.0,4726,82.348947
275.0,4726,93.987022
275.0,4726,105.682978
105.0,2012,111.105089
80.0,2022,159.320259
120.0,2394,165.396707
90.0,1934,170.113166
90.0,1934,174.942976
90.0,1934,179.751674
90.0,1934,184.511523
210.0,2458,234.32144
90.0,1822,238.964512
105.0,1956,243.764145
80.0,2672,250.368764
80.0,2672,256.995499
80.0,2672,264.101994
80.0,2672,270.796136
55.0,1086,273.589112
185.0,1890,322.637349
150.0,2262,328.533367
105.0,2116,333.9016
105.0,2116,339.237361
105.0,2116,344.503899
105.0,2116,349.76025
210.0,2494,400.707524
70.0,2070,406.047096
345.0,2706,456.239797
35.0,1642,460.131864
35.0,1642,464.117089
35.0,1642,468.119362
35.0,1642,472.022266
150.0,2358,478.134105
310.0,2380,526.447827
160.0,1960,531.127887
80.0,1666,535.151147
80.0,1666,539.116503
80.0,1666,543.149505
80.0,1666,547.335172
45.0,1164,550.400881
210.0,2400,599.582118
110.0,1898,604.395542
125.0,2318,610.016791
125.0,2318,615.515643
125.0,2318,621.166578
125.0,2318,626.771815
120.0,1980,675.100739
155.0,1918,680.11857
65.0,1256,683.397217
205.0,2810,690.321761
205.0,2810,697.209675
205.0,2810,704.327471
205.0,2810,711.346971
155.0,2366,760.382134
60.0,1432,764.213562
130.0,2944,771.387525
150.0,2792,778.116459
150.0,2792,784.948825
150.0,2792,791.832979
150.0,2792,798.584082
210.0,2494,850.285908
240.0,2382,902.41935
105.0,3126,910.188309
245.0,2136,915.38765
245.0,2136,920.54613
245.0,2136,925.669213
245.0,2136,930.813998
275.0,3876,983.377661
120.0,2796,990.486334
135.0,1962,995.404147
135.0,1962,1000.321328
135.0,1962,1005.245836
135.0,1962,1010.085238
90.0,1780,1014.834256
205.0,2896,1065.845866
145.0,3646,1074.680007
80.0,1812,1079.038951
80.0,1812,1083.513609
80.0,1812,1087.954096
80.0,1812,1092.293536
140.0,2094,1140.12994
55.0,1310,1143.417027
95.0,1632,1147.564026
225.0,3340,1155.735473
225.0,3340,1163.718448
225.0,3340,1171.719169
225.0,3340,1179.683585
225.0,3340,1187.593962
190.0,2434,1237.201723
