#{"t_start": 1686298308.9936736, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
170.0,2630,3.288931
50.0,1534,4.909958
240.0,2904,8.06898
140.0,2008,31.021953
440.0,3302,33.462948
50.0,1452,34.557729
420.0,3292,56.148038
90.0,1578,57.308034
75.0,1376,58.323064
150.0,2242,59.933499
205.0,2908,62.015499
205.0,2908,64.186544
330.0,2626,66.068257
330.0,2626,68.007385
150.0,1910,69.606721
185.0,2090,71.272545
80.0,1658,97.215295
455.0,3203,102.480922
135.0,1428,103.723307
65.0,1254,104.663307
135.0,1556,127.559213
120.0,1752,128.842478
155.0,1672,129.84945
85.0,1922,131.054513
155.0,2750,132.917449
55.0,1158,133.706947
120.0,1940,134.879276
55.0,1156,135.547601
55.0,1158,136.236597
210.0,2054,154.754561
80.0,2000,156.08709
275.0,2838,157.995856
85.0,1158,158.778302
110.0,1732,176.973102
30.0,1362,177.808421
120.0,1646,178.789422
105.0,1856,179.898604
250.0,2252,181.506717
100.0,1734,199.814549
420.0,3864,202.10383
410.0,3206,204.230069
175.0,3836,206.737689
175.0,3836,209.170906
80.0,1172,209.867904
125.0,1570,210.91946
155.0,2152,212.285811
210.0,2058,231.332175
155.0,2480,233.541254
185.0,2080,235.193801
155.0,2088,236.52583
260.0,3002,255.136826
230.0,2866,256.994827
80.0,1504,257.891826
185.0,3788,260.348991
410.0,1954,261.50949
160.0,1880,262.616681
155.0,1844,263.66859
155.0,1844,264.743071
180.0,2192,283.249014
330.0,3538,285.426015
210.0,2014,286.651012
485.0,3506,307.040746
395.0,2942,308.847214
335.0,3470,311.172269
300.0,2676,329.517872
150.0,2926,331.334872
40.0,1554,332.386901
100.0,1878,333.728366
100.0,1878,334.876383
100.0,1878,336.017906
30.0,1254,336.756016
155.0,2138,338.047908
165.0,1948,339.268348
195.0,1902,356.823026
145.0,1312,357.727203
35.0,1180,358.4855
255.0,2780,360.128578
95.0,1878,361.18258
80.0,1378,379.411093
80.0,1172,380.145428
235.0,2388,381.701911
270.0,2412,383.301327
85.0,1860,384.39079
485.0,3399,386.434688
485.0,3399,388.381487
215.0,2752,389.930486
210.0,1970,391.215487
260.0,2434,409.4013
105.0,1680,410.362278
180.0,2040,411.54868
45.0,1002,412.130091
485.0,4928,430.942723
270.0,2312,432.309726
90.0,1638,433.274725
210.0,2140,450.455307
100.0,1474,451.295715
205.0,2906,452.926918
60.0,1524,453.777924
175.0,1850,454.819926
220.0,3196,456.615918
190.0,1952,457.747941
80.0,1114,458.394014
80.0,1188,459.093031
380.0,2262,460.410432
515.0,3270,478.398804
125.0,1118,479.040091
230.0,2762,480.633093
90.0,1632,481.608584
280.0,2748,499.706651
50.0,1136,500.390574
165.0,1846,501.543636
300.0,3206,503.841556
300.0,3206,506.078007
210.0,2150,507.392004
300.0,3206,509.256278
140.0,1548,510.174278
230.0,2524,528.623319
220.0,2456,530.204319
185.0,1536,531.217346
190.0,2430,532.703572
135.0,1818,549.996425
65.0,1052,550.624435
60.0,1384,551.561184
150.0,2274,553.326206
185.0,2108,555.126373
270.0,2724,557.200204
310.0,2724,560.19958
95.0,2074,562.997118
205.0,2164,564.404704
205.0,2164,565.886088
520.0,3220,589.296747
215.0,2108,590.752267
495.0,3404,609.998179
135.0,1170,610.692079
130.0,1170,611.463079
215.0,2662,613.074591
305.0,2638,614.622116
85.0,1168,632.979986
165.0,1994,634.159919
375.0,2966,635.871905
185.0,2064,637.103302
335.0,2845,638.808363
175.0,1948,639.982451
175.0,1948,641.116368
125.0,1966,642.329474
180.0,2134,643.597879
105.0,1156,663.678795
210.0,2214,666.500717
345.0,2520,668.285275
210.0,1924,669.548763
245.0,2406,691.385639
260.0,2892,693.70934
270.0,2788,695.560084
410.0,3622,698.247296
215.0,2434,700.044701
185.0,1514,701.119702
100.0,1184,701.908709
365.0,3210,704.1441
255.0,2294,723.137698
260.0,2960,725.337024
420.0,3842,728.164535
415.0,2872,748.678158
155.0,1964,750.167476
455.0,2948,752.540979
185.0,2252,773.183056
415.0,3228,775.40406
210.0,2042,776.731063
235.0,3024,778.664461
210.0,2042,779.993727
210.0,2042,781.231811
220.0,2670,782.953506
215.0,1998,784.263145
345.0,3798,803.11459
180.0,2142,804.544969
260.0,2970,806.351962
185.0,1926,823.64234
410.0,2356,824.995485
210.0,2280,826.398484
580.0,3512,828.752815
425.0,2276,830.282439
425.0,2276,831.685803
180.0,2260,833.034799
180.0,2260,834.438799
210.0,2002,836.1758
230.0,2518,856.634528
210.0,2078,858.047479
210.0,2074,859.604089
245.0,2754,879.667559
210.0,2728,881.399557
345.0,3328,883.562847
210.0,2504,902.234304
120.0,1680,903.945163
