#{"t_start": 1686268386.1077032, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
75.0,1912,5.093866
105.0,1918,9.944369
155.0,1946,53.724454
75.0,2752,60.371862
75.0,2752,67.086071
75.0,2752,73.724036
75.0,2752,80.344882
95.0,1168,83.36204
225.0,2896,129.206997
35.0,1500,132.87065
90.0,1932,137.504982
90.0,1932,142.231185
90.0,1932,146.825722
90.0,1932,151.517806
385.0,2394,197.064497
485.0,2922,204.618296
110.0,2062,209.60062
110.0,2062,214.559002
110.0,2062,219.655021
110.0,2062,224.5584
135.0,1914,269.342821
415.0,2734,276.106934
105.0,2044,281.101586
45.0,2102,286.130914
45.0,2102,291.867131
45.0,2102,296.888787
45.0,2102,302.222535
410.0,2602,353.09248
110.0,2232,399.193457
110.0,1936,403.82742
135.0,1966,408.519083
135.0,1966,413.260234
135.0,1966,417.972723
135.0,1966,422.650867
180.0,2316,428.626331
180.0,2398,476.044136
200.0,2844,482.900921
75.0,1990,487.571021
75.0,1990,492.272052
75.0,1990,496.966698
75.0,1990,501.658102
205.0,2510,507.97288
180.0,2422,554.820896
290.0,2884,561.69363
440.0,2650,568.037978
440.0,2650,574.324792
440.0,2650,580.694244
440.0,2650,587.174724
120.0,1694,591.757356
125.0,1256,637.127986
295.0,3344,645.428963
290.0,3170,653.026158
290.0,3170,660.686322
290.0,3170,668.166863
290.0,3170,675.754735
190.0,3194,724.9731
205.0,2120,730.223189
130.0,1978,735.075852
130.0,1978,739.786938
130.0,1978,744.655473
130.0,1978,749.425749
330.0,3520,800.938873
135.0,2128,848.034176
430.0,4900,860.074958
430.0,4900,872.178525
430.0,4900,883.938807
430.0,4900,895.679535
100.0,1384,899.136535
480.0,3627,948.094166
435.0,2548,954.27804
435.0,2548,960.394036
435.0,2548,966.486499
435.0,2548,972.693768
435.0,2548,978.827668
390.0,3216,1027.087805
120.0,1914,1031.8422
75.0,1366,1035.076958
75.0,1366,1038.307279
75.0,1366,1041.473901
75.0,1366,1044.624297
225.0,2506,1090.659022
210.0,2492,1096.860036
205.0,3088,1104.299558
205.0,3088,1111.759676
205.0,3088,1119.411196
205.0,3088,1126.936987
205.0,3088,1134.844311
90.0,1684,1180.070057
140.0,1732,1184.335171
85.0,1670,1230.975489
65.0,1698,1235.122
65.0,1698,1239.290382
65.0,1698,1243.289241
65.0,1698,1247.371645
135.0,1770,1251.91616
240.0,2438,1298.987132
200.0,2062,1303.961223
110.0,1758,1308.043778
110.0,1758,1312.16049
110.0,1758,1316.337322
110.0,1758,1320.509429
425.0,2462,1326.85549
210.0,2470,1375.232556
55.0,1052,1378.0896
55.0,1052,1380.91233
55.0,1052,1383.735187
55.0,1052,1386.638491
55.0,1052,1389.438698
50.0,1264,1393.206928
260.0,2552,1441.777307
200.0,2520,1448.005184
245.0,2776,1454.778231
245.0,2776,1461.524767
245.0,2776,1468.38927
245.0,2776,1475.093111
145.0,1640,1520.196472
230.0,2106,1525.438471
405.0,3774,1534.66125
190.0,3094,1542.290429
190.0,3094,1549.708473
190.0,3094,1557.08669
190.0,3094,1564.419005
185.0,2192,1610.288537
105.0,1562,1614.371892
85.0,1816,1659.472433
120.0,1712,1663.745999
120.0,1712,1668.137591
120.0,1712,1672.357883
120.0,1712,1676.476931
75.0,1052,1679.225931
360.0,2905,1726.095533
445.0,4671,1737.674035
500.0,3984,1747.675965
500.0,3984,1757.304575
500.0,3984,1766.745491
500.0,3984,1776.239126
135.0,1968,1781.335239
245.0,2652,1827.141591
145.0,2058,1832.048007
120.0,1780,1836.351661
120.0,1780,1840.710222
120.0,1780,1845.134907
120.0,1780,1849.584259
120.0,1586,1895.061024
210.0,2134,1900.504907
475.0,3398,1908.961601
210.0,2640,1915.40352
210.0,2640,1921.920797
210.0,2640,1928.191051
210.0,2640,1934.421808
60.0,1112,1977.080976
120.0,1894,1981.971237
265.0,2694,2030.600558
75.0,1606,2034.66804
75.0,1606,2038.609704
75.0,1606,2042.626763
75.0,1606,2046.523762
290.0,2356,2052.545232
215.0,2058,2099.103064
110.0,1572,2103.022727
195.0,3078,2110.559528
195.0,3078,2117.935523
195.0,3078,2125.327523
195.0,3078,2132.568521
85.0,1986,2137.577786
185.0,2626,2184.593932
260.0,3220,2192.405341
75.0,1662,2196.352343
75.0,1662,2200.427665
75.0,1662,2204.326293
75.0,1662,2208.392088
105.0,1566,2212.375683
190.0,2106,2257.869638
135.0,2142,2263.188688
35.0,1092,2265.840707
35.0,1092,2268.420687
35.0,1092,2271.017195
35.0,1092,2273.611795
185.0,1910,2318.422477
140.0,1982,2323.431344
155.0,2236,2328.795292
140.0,1924,2333.491716
140.0,1924,2338.287121
140.0,1924,2343.335817
140.0,1924,2347.926046
185.0,2658,2394.639535
220.0,2642,2441.31004
85.0,1654,2445.273484
85.0,1654,2449.194717
85.0,1654,2453.141393
85.0,1654,2457.156852
340.0,3120,2465.103351
135.0,1516,2507.953746
95.0,1754,2512.266641
345.0,3904,2521.902672
345.0,3904,2531.463588
345.0,3904,2540.754889
345.0,3904,2550.060178
320.0,3306,2597.739601
150.0,1952,2602.596058
495.0,3340,2610.6727
495.0,3340,2618.740506
495.0,3340,2627.085404
495.0,3340,2635.250336
225.0,2532,2680.827211
460.0,2884,2688.076668
135.0,2374,2693.95069
135.0,2374,2699.812264
135.0,2374,2705.660738
135.0,2374,2711.61416
195.0,2244,2758.294169
195.0,3044,2805.25604
505.0,2938,2812.303418
505.0,2938,2819.404516
505.0,2938,2826.458464
505.0,2938,2833.491205
150.0,1718,2837.927716
300.0,4232,2887.840601
355.0,2750,2894.476595
355.0,2750,2901.138938
355.0,2750,2907.71812
355.0,2750,2914.262539
170.0,1872,2919.022994
70.0,1048,2921.57752
110.0,1892,2965.714442
75.0,1158,2968.388443
35.0,1188,2971.251569
35.0,1188,2974.05991
35.0,1188,2976.891999
35.0,1188,2979.724756
185.0,1950,2984.641451
160.0,2080,3029.805307
160.0,3700,3039.277825
35.0,1680,3043.347045
35.0,1680,3047.399897
35.0,1680,3051.410702
35.0,1680,3055.469701
180.0,2282,3100.052733
320.0,2862,3107.046386
250.0,3340,3114.993767
250.0,3340,3123.01836
250.0,3340,3131.127707
250.0,3340,3139.242146
55.0,1650,3182.208094
105.0,1738,3186.525092
195.0,2492,3231.888272
210.0,2452,3237.768791
210.0,2452,3243.603526
210.0,2452,3249.644141
210.0,2452,3255.567623
130.0,1368,3259.124657
340.0,2906,3307.677449
105.0,1332,3311.030505
40.0,1494,3314.80194
40.0,1494,3318.366337
40.0,1494,3322.029101
40.0,1494,3325.586582
45.0,1224,3328.66084
380.0,2366,3377.794412
230.0,2410,3384.694694
255.0,3036,3392.692023
255.0,3036,3400.269722
255.0,3036,3407.794961
255.0,3036,3415.317997
60.0,1036,3417.924993
150.0,1994,3463.429048
215.0,2376,3469.559056
240.0,2796,3476.871796
240.0,2796,3484.608739
240.0,2796,3491.587196
240.0,2796,3498.60529
135.0,2072,3545.170276
210.0,2776,3552.086706
260.0,2668,3598.822683
95.0,1906,3603.605502
95.0,1906,3608.337886
95.0,1906,3613.126577
95.0,1906,3617.87655
210.0,2574,3624.714388
195.0,1858,3670.138498
115.0,1280,3673.445348
650.0,3662,3682.602568
650.0,3662,3691.593286
650.0,3662,3700.788072
650.0,3662,3709.971065
305.0,3274,3758.009273
170.0,2746,3764.839891
315.0,3122,3772.396064
315.0,3122,3779.945396
315.0,3122,3787.439536
315.0,3122,3794.993645
270.0,2950,3842.091162
105.0,1870,3846.910863
320.0,4068,3856.727729
210.0,1908,3861.287224
210.0,1908,3865.836285
210.0,1908,3870.489902
210.0,1908,3875.11238
125.0,2044,3921.05726
510.0,2974,3928.801302
95.0,1208,3931.834301
95.0,1208,3934.752585
95.0,1208,3937.735231
95.0,1208,3940.699534
95.0,1208,3943.70554
170.0,2748,3994.31854
140.0,2312,4040.940901
200.0,3378,4049.259463
200.0,3378,4057.678501
200.0,3378,4066.156739
200.0,3378,4074.509433
240.0,2054,4079.859739
240.0,3472,4127.854617
180.0,2110,4132.947101
180.0,2110,4138.143605
180.0,2110,4143.387733
180.0,2110,4148.863161
225.0,1868,4153.694963
150.0,1870,4197.811347
195.0,1838,4202.294818
85.0,1122,4204.89265
85.0,1122,4207.586448
85.0,1122,4210.351606
85.0,1122,4212.972099
305.0,2538,4259.221093
95.0,1172,4262.153408
85.0,1086,4264.955557
200.0,3374,4273.276044
270.0,2406,4281.058616
270.0,2406,4286.761088
270.0,2406,4292.47541
270.0,2406,4298.235475
365.0,3070,4345.227276
90.0,2030,4389.874917
165.0,1810,4394.330764
165.0,1810,4398.660958
165.0,1810,4403.038872
165.0,1810,4407.48656
285.0,2488,4414.044533
120.0,1664,4458.839567
120.0,1478,4462.09438
120.0,1478,4465.167614
120.0,1478,4468.388425
120.0,1478,4471.600577
120.0,1478,4474.734577
120.0,1478,4477.778605
120.0,1478,4480.912214
120.0,1478,4484.025632
120.0,1478,4487.104049
