#{"t_start": 1686813539.435985, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,2074,88.209657
85.0,2600,90.081984
65.0,2410,91.850012
105.0,2074,93.267984
85.0,2600,95.197984
360.0,2758,97.296276
85.0,2600,99.860901
65.0,2410,101.5679
360.0,2758,103.474901
360.0,2758,105.343625
360.0,2758,463.429268
360.0,2758,465.600266
105.0,2074,466.984078
105.0,2074,468.599517
65.0,2410,470.481987
65.0,2410,472.511231
105.0,2074,474.53703
85.0,2600,476.992183
360.0,2758,479.654344
65.0,2410,481.715757
65.0,2410,483.280753
360.0,2758,485.200131
65.0,2410,486.757131
85.0,2600,488.475597
105.0,2074,489.857018
360.0,2758,491.668041
85.0,2600,493.413052
65.0,2410,494.94818
105.0,2074,496.320184
85.0,2600,498.19529
65.0,2410,695.040681
360.0,2758,697.152785
105.0,2074,698.583155
105.0,2074,700.230267
85.0,2600,702.510751
85.0,2600,704.963401
85.0,2600,706.893513
105.0,2074,708.463605
360.0,2758,710.418007
65.0,2410,712.018006
360.0,2758,713.776006
105.0,2074,715.100006
105.0,2074,716.445109
65.0,2410,718.21744
65.0,2410,720.361032
360.0,2758,723.325319
65.0,2410,725.099928
105.0,2074,726.416824
360.0,2758,728.232821
65.0,2410,729.801277
