#{"t_start": 1686259141.9725118, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
120.0,1970,5.691108
135.0,1698,33.053654
95.0,2026,61.060731
150.0,4232,71.7084
150.0,4232,82.893088
150.0,4232,94.27267
150.0,4232,105.12615
155.0,2366,134.01029
125.0,1694,163.65693
80.0,1160,167.072892
165.0,1866,172.590664
165.0,1866,178.350631
165.0,1866,184.010984
165.0,1866,189.268442
110.0,2218,217.788074
65.0,1416,244.410662
105.0,1842,272.804334
240.0,3424,281.743447
240.0,3424,290.730839
240.0,3424,299.623547
240.0,3424,308.758509
105.0,1490,335.719961
545.0,4252,371.945697
185.0,2320,377.90284
185.0,2320,383.793107
185.0,2320,389.705334
185.0,2320,395.781231
135.0,2072,424.506028
320.0,1968,453.073854
90.0,1948,481.771657
205.0,2450,488.435561
205.0,2450,494.813851
205.0,2450,501.139109
205.0,2450,507.293525
65.0,1136,511.162107
105.0,1608,539.269356
250.0,3118,570.121767
260.0,4406,581.064364
260.0,4406,592.10771
260.0,4406,603.135373
260.0,4406,614.15038
45.0,1200,640.113789
155.0,2034,667.967269
65.0,1678,696.542635
100.0,1848,701.911586
225.0,2516,708.927819
225.0,2516,716.044729
225.0,2516,722.951088
225.0,2516,729.851844
240.0,2300,760.40638
185.0,4028,793.374888
75.0,1582,797.280617
75.0,1582,801.190319
75.0,1582,805.017676
75.0,1582,808.825691
125.0,1736,836.145152
95.0,1788,863.368734
180.0,2024,868.543582
90.0,1638,872.508992
90.0,1638,876.606318
90.0,1638,880.592409
90.0,1638,884.728817
420.0,2632,936.622251
15.0,1568,962.373793
120.0,1966,967.142467
20.0,1234,970.059181
20.0,1234,973.023266
20.0,1234,976.035188
20.0,1234,978.894346
170.0,2004,1006.275836
130.0,1960,1032.959325
230.0,2568,1039.289587
235.0,3102,1046.742696
235.0,3102,1054.319777
235.0,3102,1061.741184
235.0,3102,1069.307813
105.0,1564,1095.555457
325.0,2950,1148.234408
170.0,2370,1154.261034
195.0,2810,1161.24589
195.0,2810,1168.076606
195.0,2810,1175.02048
195.0,2810,1181.9728
95.0,1856,1208.758348
240.0,2888,1237.63912
115.0,1672,1241.611004
175.0,1918,1246.272445
175.0,1918,1250.887264
175.0,1918,1255.457662
175.0,1918,1260.038404
35.0,1558,1285.906797
155.0,1902,1312.282995
60.0,1608,1337.869284
210.0,3418,1346.140239
210.0,3418,1354.322422
210.0,3418,1363.178557
210.0,3418,1371.393926
210.0,3418,1379.717023
105.0,2032,1406.721545
95.0,1912,1433.435034
165.0,2102,1438.610653
200.0,2262,1444.081698
200.0,2262,1449.573957
200.0,2262,1455.078504
200.0,2262,1460.568457
205.0,3758,1513.772583
125.0,1522,1538.921365
95.0,1918,1543.561049
95.0,1918,1548.172059
95.0,1918,1552.816494
95.0,1918,1557.378502
90.0,1598,1561.433029
375.0,3520,1613.145272
205.0,2748,1619.800982
205.0,2748,1626.501769
205.0,2748,1633.171942
205.0,2748,1639.677955
75.0,1588,1665.185558
100.0,1588,1690.370282
315.0,4522,1701.676455
315.0,3237,1709.449259
315.0,3237,1717.129004
315.0,3237,1724.923175
315.0,3237,1732.708176
60.0,1536,1761.041891
225.0,2132,1788.007265
210.0,2070,1814.717878
25.0,1294,1817.819263
25.0,1294,1820.909601
25.0,1294,1824.082448
25.0,1294,1827.212443
115.0,1898,1854.456303
310.0,3038,1884.689471
155.0,2106,1889.861793
155.0,2106,1895.035137
155.0,2106,1900.16044
155.0,2106,1905.416988
155.0,2106,1910.634255
120.0,2290,1938.603891
55.0,1534,1964.628993
95.0,1214,1989.36936
