#{"t_start": 1686491662.4332237, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
230.0,3172,113.744814
225.0,2520,115.939049
110.0,1868,117.540245
105.0,1542,118.990595
45.0,1120,119.887597
30.0,1496,121.209594
130.0,1212,122.551155
55.0,1298,123.853521
135.0,1654,125.333046
160.0,2814,173.387548
90.0,1196,174.57538
75.0,1164,175.67061
115.0,2186,177.443048
110.0,2058,179.034025
115.0,2186,180.702498
115.0,2186,182.531979
135.0,2332,185.758428
10.0,1154,186.821423
90.0,1704,188.827085
570.0,3356,192.172127
185.0,2782,195.503559
210.0,2822,242.487867
155.0,1798,244.163867
80.0,1138,245.454271
550.0,3122,249.335795
155.0,2046,251.055413
90.0,2020,252.754743
90.0,2020,255.068331
90.0,2020,257.419405
110.0,2380,259.562986
110.0,2078,261.486404
350.0,2026,263.43976
305.0,2372,266.365763
90.0,1934,268.037301
50.0,1196,312.086121
110.0,2098,315.315678
210.0,2472,318.487804
210.0,1992,320.656878
155.0,1864,322.787625
135.0,2338,325.279765
235.0,2796,330.265544
280.0,3028,334.769843
180.0,4258,339.613755
180.0,4258,344.370289
265.0,3062,347.588046
150.0,2326,350.232028
50.0,1510,352.144172
200.0,2218,404.087439
170.0,1904,406.497305
120.0,2148,409.357798
35.0,1180,410.661247
210.0,3550,414.989635
55.0,1146,416.182849
375.0,2792,419.570866
160.0,2144,421.876728
335.0,2745,425.169206
130.0,2052,427.046079
130.0,2052,428.898876
30.0,1124,430.255821
285.0,3512,479.963348
15.0,1292,481.050326
100.0,1096,481.914833
120.0,2236,483.797962
65.0,1758,485.400303
475.0,2800,487.662734
450.0,2488,489.658735
115.0,1552,490.903033
440.0,3130,542.185679
440.0,4704,547.766052
135.0,2046,550.402839
135.0,2046,552.210288
205.0,2750,554.650187
100.0,1476,555.872186
210.0,2520,558.046453
135.0,1992,559.950448
135.0,2162,561.786474
175.0,2420,563.782451
125.0,1202,564.751449
465.0,2872,567.191052
240.0,2830,611.11983
45.0,1032,612.003825
255.0,2896,614.368247
50.0,2000,615.974248
390.0,3230,618.591385
390.0,3230,621.686533
240.0,3252,624.473204
125.0,1894,626.289741
35.0,1192,627.801175
75.0,1208,629.201097
135.0,2192,631.792502
305.0,2130,634.124468
135.0,1974,636.334099
410.0,2452,639.102886
190.0,2716,691.50442
135.0,1908,693.319359
175.0,2328,695.345645
120.0,1200,696.599645
325.0,2730,698.956585
75.0,1428,700.210122
630.0,3926,703.456586
630.0,3926,706.613815
170.0,1894,708.173073
290.0,4254,712.024096
75.0,1664,713.639095
215.0,2542,756.930831
155.0,2548,759.201117
335.0,3814,762.832188
120.0,1910,764.662302
340.0,2602,766.816183
50.0,1242,767.820433
260.0,3750,770.818509
335.0,4756,774.560716
335.0,4756,778.378997
335.0,4756,782.302388
120.0,1834,783.884389
110.0,2368,828.382516
180.0,2280,830.468134
155.0,2364,832.63112
180.0,1884,834.305118
180.0,2368,836.365388
185.0,2594,838.654406
80.0,1154,839.701384
65.0,1360,840.944411
75.0,1168,841.98841
75.0,1152,842.961384
210.0,2516,845.07045
625.0,4850,849.011331
625.0,4850,853.073643
210.0,2516,855.08665
130.0,2280,899.368026
210.0,2352,901.685524
230.0,3236,904.801546
215.0,2708,907.151162
155.0,2532,909.238607
380.0,2426,911.235942
110.0,1998,956.899571
155.0,1874,958.612552
110.0,2156,960.395638
210.0,2780,962.771164
260.0,2800,965.071574
25.0,1012,966.043574
170.0,2414,968.60395
135.0,2224,970.571951
180.0,2410,972.660977
165.0,2238,974.626678
105.0,1576,976.2473
210.0,2462,978.863124
545.0,4444,1027.847139
135.0,2368,1030.07243
120.0,1976,1031.847432
145.0,2428,1034.05102
155.0,2416,1036.045603
180.0,2726,1038.32175
110.0,2070,1040.143222
110.0,2070,1042.751661
450.0,2798,1046.140138
