#{"t_start": 1686243434.223296, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
105.0,1994,5.149932
105.0,2082,30.831849
110.0,1186,53.882082
80.0,2516,59.64788
80.0,2516,65.327126
80.0,2516,71.231634
80.0,2516,77.180192
75.0,1206,100.560158
445.0,2806,127.745584
295.0,3666,136.148396
65.0,1778,140.251076
65.0,1778,144.264172
65.0,1778,148.25676
65.0,1778,152.292207
120.0,2232,178.196272
275.0,4738,231.191057
35.0,2814,237.58855
35.0,2814,244.008329
35.0,2814,250.473636
35.0,2814,256.794097
160.0,1944,282.316588
135.0,2194,308.310692
95.0,1300,311.407943
50.0,2794,317.667612
50.0,2794,324.039856
50.0,2794,330.445079
50.0,2794,336.785766
65.0,1160,360.748054
255.0,3400,389.793427
220.0,3210,417.964154
195.0,2920,424.678867
195.0,2920,431.368339
195.0,2920,438.000101
195.0,2920,444.637224
155.0,1746,470.241408
105.0,1750,475.022509
240.0,3388,506.491285
250.0,3666,516.004119
250.0,3666,524.954698
250.0,3666,533.406474
250.0,3666,541.9769
65.0,1418,566.494512
70.0,1774,591.845397
310.0,2684,619.345994
155.0,1772,623.346971
155.0,1772,627.394105
155.0,1772,631.428211
155.0,1772,635.491725
215.0,2610,662.647101
195.0,2282,688.980396
115.0,2844,695.606366
165.0,1876,699.805868
165.0,1876,704.04946
165.0,1876,708.275534
165.0,1876,712.573236
345.0,2148,738.898171
20.0,956,762.213048
140.0,1906,766.858646
200.0,2820,773.32958
200.0,2820,779.822424
200.0,2820,786.271497
200.0,2820,792.647158
200.0,2820,799.11339
140.0,1772,824.452328
140.0,1844,850.079778
115.0,1942,875.771345
160.0,2074,880.470112
160.0,2074,885.222045
160.0,2074,889.949039
160.0,2074,894.561038
85.0,1946,920.305512
95.0,1494,944.970732
140.0,1904,949.513344
155.0,2020,954.143104
155.0,2020,958.728946
155.0,2020,963.414191
155.0,2020,967.962853
275.0,3074,1017.895545
195.0,2046,1043.880403
415.0,4912,1055.010456
415.0,4912,1066.149703
415.0,4912,1077.446047
415.0,4912,1088.51683
205.0,2004,1114.371477
160.0,2422,1140.952543
80.0,1530,1144.495211
220.0,3302,1152.032794
220.0,3302,1159.579214
220.0,3302,1167.109393
220.0,3302,1174.629119
305.0,3002,1223.800981
255.0,3242,1252.312717
380.0,2372,1257.748533
380.0,2372,1263.231625
380.0,2372,1268.552317
380.0,2372,1273.927358
260.0,2560,1300.770955
180.0,2360,1327.39381
150.0,2374,1332.714286
255.0,2384,1338.160698
255.0,2384,1343.651699
255.0,2384,1349.085246
255.0,2384,1354.564833
135.0,1570,1379.303078
230.0,2934,1407.211654
375.0,4316,1438.594491
190.0,2462,1444.23334
190.0,2462,1449.744631
190.0,2462,1455.444631
190.0,2462,1460.947415
365.0,3260,1489.698556
285.0,4010,1519.817985
110.0,2124,1524.581754
110.0,2124,1529.373751
110.0,2124,1534.259733
110.0,2124,1539.077096
180.0,2378,1565.789993
260.0,2814,1593.581156
80.0,1816,1597.658594
80.0,1816,1601.859077
80.0,1816,1605.939882
80.0,1816,1610.10268
110.0,1908,1635.598991
135.0,2096,1661.432047
155.0,2418,1688.147954
120.0,3606,1696.429785
120.0,3606,1704.636337
120.0,3606,1712.92012
120.0,3606,1721.109564
145.0,2142,1747.558753
225.0,2518,1774.703837
165.0,2336,1780.010112
95.0,2894,1786.598353
95.0,2894,1793.114854
95.0,2894,1799.834243
95.0,2894,1806.509047
110.0,1580,1831.44687
360.0,2572,1858.920904
310.0,2084,1884.975093
15.0,1034,1887.579091
15.0,1034,1889.892115
15.0,1034,1892.328732
15.0,1034,1894.75907
105.0,2082,1920.773325
80.0,1616,1945.710975
190.0,2364,1951.293726
165.0,2164,1956.211725
165.0,2164,1961.127508
165.0,2164,1966.105001
165.0,2164,1971.062999
115.0,1888,1996.714594
105.0,2116,2022.877193
75.0,1154,2046.973538
50.0,1204,2049.616767
50.0,1204,2052.360765
50.0,1204,2055.126197
50.0,1204,2057.729195
120.0,2084,2083.743346
225.0,4198,2114.574627
185.0,2530,2120.417275
185.0,2530,2126.284672
185.0,2530,2132.138266
185.0,2530,2138.031082
120.0,1982,2163.823402
240.0,2624,2191.028401
195.0,2406,2217.472063
120.0,1756,2221.456918
120.0,1756,2225.57708
120.0,1756,2229.635271
120.0,1756,2233.678595
75.0,1584,2237.516943
240.0,2854,2286.267273
