#{"t_start": 1686321034.663134, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
535.0,2564,115.458182
75.0,1566,117.080966
105.0,1202,118.519207
135.0,1924,120.466287
105.0,1536,144.99093
60.0,1562,146.43741
120.0,2054,148.39796
135.0,1844,149.886959
185.0,2134,151.853947
60.0,1512,174.703398
135.0,1968,176.348811
245.0,4298,180.191355
55.0,1056,181.384355
55.0,1056,182.450523
515.0,2780,185.174803
55.0,1056,186.132876
80.0,1650,187.723903
50.0,1550,189.252874
240.0,3564,218.540176
530.0,4894,222.615582
50.0,1184,223.795861
215.0,2218,250.714692
75.0,1410,252.138466
80.0,1510,253.88095
305.0,2598,256.369394
110.0,1744,258.19417
80.0,1244,259.403198
220.0,2390,262.322495
245.0,2926,264.772984
170.0,1862,289.653426
235.0,2410,291.99662
110.0,1194,293.23344
225.0,2382,295.803013
270.0,3338,325.104698
65.0,1528,326.406217
230.0,2158,328.234686
500.0,2578,330.799999
290.0,3028,354.541611
220.0,2842,356.897136
130.0,2046,358.528135
340.0,4268,363.601893
130.0,2046,365.490911
215.0,2458,367.836665
310.0,3372,394.742737
50.0,1092,395.803105
210.0,1992,397.453539
290.0,2476,399.539956
155.0,1954,401.166951
190.0,2198,424.179028
70.0,1540,425.427941
110.0,1332,426.593027
180.0,2480,428.67246
120.0,1216,429.599461
115.0,2106,431.262459
115.0,2106,433.036682
115.0,2106,434.739683
180.0,2124,456.804808
345.0,2464,459.041729
145.0,2138,460.925824
100.0,1518,462.247824
135.0,2354,484.799341
60.0,1030,485.697335
110.0,1186,486.698857
90.0,1474,487.938849
135.0,1962,489.492015
395.0,3434,512.757748
160.0,2812,515.056294
305.0,4244,518.436617
215.0,2554,520.570064
185.0,2422,522.496064
260.0,2998,524.91121
245.0,2708,527.166211
110.0,1426,528.389262
390.0,2360,530.253319
180.0,2452,552.634929
225.0,1886,554.148967
180.0,2188,556.038631
185.0,2348,578.308251
305.0,2958,580.709469
100.0,1934,582.247566
160.0,1558,583.540468
190.0,2576,585.570248
190.0,2576,587.671251
135.0,1890,589.322582
135.0,1890,590.977912
190.0,1858,592.50395
110.0,1294,613.872095
110.0,1746,615.316956
180.0,1840,616.844951
425.0,2582,618.939102
165.0,2282,641.032784
180.0,1544,642.324785
115.0,2114,644.056915
110.0,1816,645.523031
355.0,2174,647.348033
110.0,1842,669.288831
215.0,2550,671.316648
80.0,1198,672.322783
120.0,1274,673.270972
545.0,3620,676.203975
265.0,3738,679.290311
180.0,1764,680.882696
150.0,1682,682.247193
120.0,1906,704.861764
105.0,1786,706.379248
135.0,1832,708.004785
285.0,2900,710.527255
345.0,3716,734.95779
155.0,2418,736.934033
180.0,2608,738.997033
195.0,2036,740.706033
180.0,2608,742.753396
180.0,2608,744.844536
110.0,1754,746.274556
160.0,2010,747.973701
110.0,1682,769.805933
255.0,2496,771.842329
135.0,2006,773.467538
110.0,1770,774.908522
110.0,1970,797.00231
110.0,1770,798.458311
110.0,1830,799.970209
185.0,1906,801.552211
230.0,2402,803.500705
265.0,2868,805.834077
165.0,2036,807.482225
155.0,1694,808.748328
165.0,2036,810.380648
210.0,2268,832.857098
330.0,2874,835.224076
165.0,2800,837.542077
135.0,1694,859.859779
315.0,2976,862.224829
135.0,1866,863.76891
300.0,3086,887.083597
160.0,1912,888.645114
510.0,3395,891.373542
355.0,2100,893.048915
160.0,2022,894.673915
130.0,1674,896.199347
160.0,2022,897.981646
245.0,2832,900.490645
350.0,2706,923.2962
135.0,1364,924.419276
290.0,3120,926.951395
345.0,4320,951.125489
140.0,2138,952.902822
325.0,3238,955.585831
110.0,1914,957.08132
235.0,2476,959.023921
235.0,2476,961.130335
365.0,3424,963.920181
150.0,1678,965.210174
290.0,2916,988.315416
225.0,2194,990.077515
165.0,1958,991.726431
155.0,1914,993.283462
140.0,1796,1015.475039
305.0,2576,1017.644843
115.0,1882,1019.19782
210.0,2260,1021.082835
120.0,1658,1043.289482
135.0,1602,1044.614504
140.0,2014,1046.210006
140.0,2014,1047.867624
215.0,2548,1049.91063
215.0,2548,1051.981671
180.0,2012,1053.637754
240.0,2428,1055.677052
120.0,1412,1056.810259
230.0,2840,1079.909714
260.0,2336,1081.853226
140.0,2264,1083.738687
120.0,2002,1106.032725
140.0,1972,1107.708705
120.0,1918,1109.227035
120.0,1294,1110.299136
165.0,1866,1111.850467
140.0,1738,1113.255471
165.0,1866,1114.760639
465.0,2652,1116.908638
165.0,1866,1118.419378
120.0,1784,1119.92812
300.0,3156,1143.688903
110.0,1520,1144.869899
200.0,2218,1146.681334
225.0,2000,1169.51339
250.0,2434,1171.556634
210.0,1952,1173.132974
155.0,1986,1174.77193
135.0,1612,1176.17895
215.0,1930,1198.415186
80.0,1614,1199.705505
320.0,2574,1201.687414
125.0,1454,1202.873409
80.0,1614,1204.242141
105.0,1144,1205.140589
240.0,2100,1206.848096
480.0,3125,1209.367101
150.0,1704,1231.364305
180.0,1648,1232.735228
145.0,1672,1234.09223
125.0,2014,1235.793354
135.0,1750,1237.177572
185.0,2482,1259.954683
150.0,1990,1261.608684
180.0,1806,1263.067148
190.0,2240,1264.938867
190.0,2240,1266.73932
240.0,2044,1268.401412
240.0,2044,1270.006324
185.0,1846,1271.559321
110.0,1842,1293.766932
190.0,1886,1295.327462
315.0,2804,1297.57381
580.0,3344,1320.898536
155.0,1652,1322.284539
180.0,1728,1323.712541
110.0,1774,1325.132935
540.0,2548,1327.212068
125.0,1908,1349.511731
170.0,2022,1351.137092
180.0,2430,1353.12149
260.0,2712,1355.340491
260.0,2712,1357.555844
80.0,1830,1359.08901
165.0,2188,1360.883911
110.0,1230,1361.888893
110.0,1866,1363.470887
225.0,2462,1385.994485
215.0,2340,1387.934789
135.0,1828,1389.397376
365.0,3452,1413.057365
135.0,2068,1414.839771
585.0,2932,1417.192358
120.0,1352,1418.29436
120.0,1160,1419.189358
120.0,1352,1420.321804
120.0,1160,1421.231818
410.0,3872,1424.442865
180.0,2180,1446.618589
120.0,1504,1447.909257
210.0,2386,1449.803659
245.0,2476,1451.829042
225.0,2704,1474.67776
345.0,4390,1478.318203
225.0,2446,1480.335284
420.0,2796,1482.541121
180.0,1934,1484.118595
120.0,1520,1485.302616
420.0,2796,1487.671831
225.0,2416,1510.692194
290.0,3314,1513.45125
110.0,2258,1515.288257
270.0,2880,1538.26581
180.0,2428,1540.2493
120.0,1860,1541.732296
80.0,1250,1542.784326
270.0,2860,1565.686513
250.0,2846,1568.016889
410.0,2524,1569.975894
460.0,2974,1572.437973
225.0,2552,1574.444145
460.0,2974,1576.883148
210.0,2458,1578.951143
240.0,2834,1602.116387
440.0,2902,1604.551829
410.0,2692,1606.72085
210.0,2506,1608.81587
270.0,2898,1632.112243
410.0,2604,1634.21921
160.0,2396,1636.175209
240.0,2906,1638.479673
120.0,2242,1640.333221
225.0,2804,1642.548256
240.0,2842,1644.823343
270.0,2898,1668.265769
180.0,2590,1670.405193
210.0,2550,1672.490003
410.0,2476,1695.301553
210.0,2422,1697.329754
215.0,2576,1699.45146
110.0,2196,1701.233457
135.0,2334,1724.049359
215.0,2562,1726.10849
165.0,2002,1727.792491
165.0,2002,1729.354531
165.0,2002,1730.965593
185.0,2538,1732.989552
210.0,2540,1735.07061
240.0,2988,1737.520613
215.0,2480,1760.557943
410.0,2506,1762.581939
290.0,3322,1765.374053
240.0,2860,1788.810896
315.0,2944,1791.255944
210.0,2550,1793.278129
270.0,3046,1795.768423
240.0,2970,1798.068419
380.0,2334,1799.934934
260.0,2908,1802.246431
210.0,2364,1804.251687
180.0,2316,1827.141359
290.0,2852,1829.457328
210.0,2376,1831.399613
215.0,2420,1854.294831
110.0,1978,1855.950719
210.0,2468,1858.013193
460.0,2898,1882.520838
270.0,2936,1885.636782
285.0,2894,1892.705308
240.0,2910,1896.172248
240.0,2910,1898.368557
285.0,2894,1900.770739
240.0,2900,1903.392739
485.0,2838,1905.639251
180.0,2492,1929.39738
415.0,2520,1931.419816
270.0,2864,1933.773095
260.0,2850,1958.56744
210.0,2554,1960.986461
460.0,2936,1963.781847
240.0,2908,1966.478849
180.0,2360,1968.680193
180.0,2360,1970.820528
345.0,3304,1973.843727
485.0,2900,1976.605724
525.0,3292,2002.887489
210.0,2450,2005.121789
160.0,2366,2007.138791
265.0,2926,2031.242678
500.0,2984,2033.732459
210.0,2520,2035.78446
260.0,2938,2059.826788
260.0,2894,2062.19027
460.0,2888,2064.597817
290.0,3288,2067.353816
290.0,3288,2070.051838
260.0,2874,2072.541821
260.0,2892,2074.938174
520.0,3012,2099.56845
210.0,2716,2102.062825
485.0,2880,2104.611834
470.0,3008,2129.102558
410.0,2514,2131.225191
180.0,2452,2133.331417
260.0,2908,2135.793423
210.0,2506,2137.814667
260.0,2908,2140.25901
410.0,2572,2142.366409
120.0,1676,2143.873821
260.0,2906,2168.0609
205.0,2900,2170.668244
210.0,2484,2172.857457
485.0,2874,2198.509447
470.0,4494,2202.945215
190.0,2534,2205.402253
265.0,3038,2208.304735
320.0,3284,2211.425734
155.0,2338,2213.60878
155.0,2338,2215.939988
260.0,2966,2218.600018
180.0,2370,2242.248097
475.0,2986,2244.838412
180.0,2508,2246.990807
210.0,2360,2270.697399
260.0,2936,2273.255843
275.0,3250,2276.08422
210.0,2568,2300.026459
270.0,2860,2302.306524
155.0,2018,2304.035524
265.0,2894,2306.407407
290.0,2966,2308.880386
265.0,2894,2311.24887
315.0,3222,2314.00987
210.0,2530,2337.93974
260.0,2886,2340.45085
410.0,2994,2342.889849
260.0,2860,2366.589782
380.0,2368,2368.642774
210.0,2526,2370.755432
260.0,2888,2373.171802
210.0,2538,2375.234231
180.0,2388,2377.20429
180.0,2388,2379.185635
210.0,2512,2381.226224
180.0,2370,2404.566566
210.0,2528,2406.714873
210.0,2398,2408.79371
210.0,2546,2410.955709
210.0,2422,2434.50315
685.0,3318,2437.305145
390.0,4434,2462.688761
260.0,2946,2465.084154
240.0,2884,2467.462157
240.0,2884,2469.788679
155.0,2352,2471.706678
240.0,2884,2474.120549
545.0,3296,2476.982641
210.0,2560,2479.163207
410.0,2514,2502.725914
105.0,1924,2504.389908
260.0,2956,2506.891909
110.0,1918,2529.7564
305.0,3014,2532.587721
240.0,2844,2535.00972
210.0,2466,2537.056037
