#{"t_start": 1686238667.0332575, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
120.0,2068,31.372839
125.0,1828,36.756812
30.0,1504,62.633673
160.0,1616,67.134361
160.0,1616,71.017055
160.0,1616,74.966748
160.0,1616,78.746946
185.0,2444,105.916346
150.0,1520,131.090905
75.0,1600,134.780907
105.0,2784,141.132356
105.0,2784,147.397995
105.0,2784,153.785216
105.0,2784,160.214566
80.0,1478,184.520652
190.0,2526,211.307043
185.0,2402,251.622525
465.0,2330,259.704931
465.0,2330,270.947235
465.0,2330,277.267058
465.0,2330,285.989702
230.0,2594,314.737465
50.0,1634,339.85797
120.0,1882,344.137586
180.0,2946,350.650001
180.0,2946,358.282539
180.0,2946,366.372013
180.0,2946,373.520239
120.0,1598,407.323581
165.0,2274,466.424534
65.0,1348,520.98771
220.0,4286,543.593531
220.0,4286,587.761621
220.0,4286,625.488815
220.0,4286,655.139104
185.0,2156,684.616275
215.0,2716,727.37006
160.0,1898,731.858296
105.0,1946,736.395683
105.0,1946,741.228818
105.0,1946,746.033281
105.0,1946,750.799231
120.0,2246,781.134168
410.0,2504,819.635433
285.0,3312,856.662129
170.0,2078,861.388903
170.0,2078,866.177254
170.0,2078,871.279486
170.0,2078,876.002514
335.0,3214,906.938368
35.0,1486,936.212349
85.0,1906,941.524229
265.0,3304,950.336814
265.0,3304,958.339826
265.0,3304,965.962478
265.0,3304,973.591417
105.0,1904,999.819271
65.0,2340,1027.105339
130.0,2404,1032.84065
120.0,1966,1037.398927
120.0,1966,1041.995679
120.0,1966,1046.557425
120.0,1966,1051.125222
105.0,2394,1100.047196
120.0,2084,1126.53548
80.0,1900,1130.880966
250.0,2414,1136.463614
250.0,2414,1142.355351
250.0,2414,1147.974476
250.0,2414,1153.623151
210.0,2378,1180.929363
80.0,1604,1206.664307
210.0,2000,1211.94079
130.0,1822,1216.238395
130.0,1822,1220.445433
130.0,1822,1224.622457
130.0,1822,1231.279384
320.0,3294,1284.330275
50.0,1160,1310.252366
155.0,2396,1316.633493
20.0,1030,1319.403368
20.0,1030,1322.070389
20.0,1030,1324.695812
20.0,1030,1327.295645
350.0,3362,1356.790919
230.0,3526,1386.661295
35.0,1000,1388.960846
35.0,1000,1391.229063
35.0,1000,1393.604574
35.0,1000,1395.865752
130.0,2394,1422.985528
110.0,2052,1449.245013
90.0,1356,1474.174971
135.0,2764,1480.516917
135.0,2764,1486.951898
135.0,2764,1493.3185
135.0,2764,1500.047371
110.0,1656,1504.158534
90.0,1942,1530.599291
380.0,4247,1562.31096
135.0,1930,1566.787756
135.0,1930,1571.257692
135.0,1930,1575.737271
135.0,1930,1580.220288
185.0,2028,1606.651127
205.0,2716,1634.46146
210.0,2536,1661.689721
80.0,1292,1664.607913
80.0,1292,1667.599957
80.0,1292,1670.609215
80.0,1292,1673.502212
155.0,2346,1700.732668
70.0,1150,1703.501054
190.0,2464,1731.039604
80.0,1816,1735.266875
80.0,1816,1739.554478
80.0,1816,1743.703186
80.0,1816,1747.935683
240.0,2546,1775.440123
120.0,2106,1801.656224
355.0,2088,1806.636056
240.0,3534,1814.936529
240.0,3534,1823.125035
240.0,3534,1831.303591
240.0,3534,1839.491909
210.0,2542,1887.98925
580.0,4625,1919.986943
120.0,1804,1924.124382
120.0,1804,1928.213794
120.0,1804,1932.344041
120.0,1804,1936.470642
80.0,1788,1962.074513
180.0,2164,1988.582621
420.0,3354,1996.582354
105.0,1726,2000.622335
105.0,1726,2004.62161
105.0,1726,2008.582248
105.0,1726,2012.548667
100.0,1232,2036.600163
80.0,1286,2060.898559
315.0,2778,2088.951298
95.0,1990,2093.561479
95.0,1990,2098.245349
95.0,1990,2102.80941
95.0,1990,2107.417953
110.0,1868,2133.603721
570.0,3384,2162.875109
110.0,2078,2167.636111
110.0,2078,2172.404719
110.0,2078,2177.191382
110.0,2078,2182.043594
110.0,1830,2207.290073
210.0,2042,2233.181706
110.0,1398,2257.391902
195.0,2746,2263.712635
195.0,2746,2270.099513
195.0,2746,2276.379712
195.0,2746,2282.772379
285.0,3724,2313.085253
180.0,2520,2339.958862
485.0,2966,2346.832205
485.0,2966,2353.903159
485.0,2966,2360.627327
485.0,2966,2367.579041
120.0,2170,2394.15531
155.0,1974,2420.620891
50.0,1208,2444.634727
75.0,1500,2448.061936
75.0,1500,2451.478992
75.0,1500,2455.031955
75.0,1500,2458.47003
345.0,3474,2488.102778
215.0,2804,2515.817096
220.0,2916,2522.632066
220.0,2916,2529.334469
220.0,2916,2536.036132
220.0,2916,2542.832425
165.0,1342,2567.251942
75.0,1190,2570.201566
50.0,1234,2594.587518
160.0,2180,2599.711601
315.0,2348,2605.170242
315.0,2348,2610.596397
