#{"t_start": 1686252381.3270211, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
215.0,2812,7.299195
180.0,1870,52.974735
85.0,2316,58.389266
70.0,1106,60.922601
70.0,1106,63.538193
70.0,1106,66.06289
70.0,1106,69.390951
155.0,2358,75.221364
210.0,2374,123.049021
120.0,1882,127.448027
120.0,2002,132.099829
120.0,2002,136.834958
120.0,2002,141.538162
120.0,2002,146.284393
290.0,2720,195.233983
30.0,1268,198.833492
140.0,2186,205.445884
185.0,3706,215.7177
185.0,3706,224.59046
185.0,3706,233.495439
185.0,3706,242.1872
100.0,1252,245.44997
170.0,1730,295.333419
205.0,1866,300.890749
240.0,2772,308.455805
55.0,1226,311.791802
55.0,1226,315.103905
55.0,1226,318.345633
55.0,1226,321.815623
150.0,1974,374.30019
80.0,1174,377.333573
140.0,1984,427.084874
335.0,3030,434.608399
335.0,3030,442.533302
335.0,3030,450.472588
335.0,3030,458.49586
220.0,4478,519.202161
110.0,1564,523.895127
330.0,3186,532.701057
330.0,3186,541.251756
330.0,3186,549.675727
330.0,3186,557.864235
140.0,1952,563.24042
230.0,2612,616.904079
135.0,1894,622.196673
125.0,1954,627.62153
125.0,1954,632.817072
125.0,1954,637.548689
125.0,1954,642.314717
210.0,2356,691.470323
65.0,1868,696.765519
100.0,1234,699.815414
260.0,2794,706.489567
260.0,2794,713.164213
260.0,2794,719.910877
260.0,2794,726.750555
180.0,2350,775.6992
180.0,2004,780.66202
335.0,3382,788.790421
390.0,3300,796.766417
390.0,3300,804.763656
390.0,3300,812.581313
390.0,3300,820.360585
180.0,1974,868.133653
60.0,1162,870.983927
150.0,1920,919.421185
130.0,2484,925.522726
130.0,2484,931.582028
130.0,2484,937.563987
130.0,2484,943.539775
180.0,2300,949.280743
125.0,1180,995.500344
220.0,1950,1000.330569
85.0,1498,1003.943391
85.0,1498,1007.531404
85.0,1498,1011.205849
85.0,1498,1014.822428
260.0,3250,1066.677858
60.0,1488,1070.420907
80.0,1168,1073.298909
100.0,1452,1076.819883
100.0,1452,1080.451279
100.0,1452,1084.017273
100.0,1452,1087.550758
340.0,2634,1138.355541
150.0,1956,1143.232219
205.0,2968,1150.496654
255.0,2980,1157.951815
255.0,2980,1165.932777
255.0,2980,1173.394304
255.0,2980,1180.800329
140.0,2508,1231.555955
70.0,1110,1234.264774
115.0,1924,1282.328152
200.0,2980,1289.760465
200.0,2980,1297.303008
200.0,2980,1306.935504
200.0,2980,1314.553368
120.0,1928,1319.531008
365.0,3208,1372.339391
335.0,2542,1378.614314
335.0,2542,1384.905962
335.0,2542,1391.047959
335.0,2542,1397.28808
135.0,2138,1402.783105
315.0,2756,1457.731604
140.0,1162,1461.183292
150.0,1850,1466.589977
150.0,1850,1471.600767
150.0,1850,1476.634513
150.0,1850,1481.259807
425.0,2824,1531.254157
365.0,3652,1540.275016
190.0,1994,1545.10128
190.0,1994,1549.957251
190.0,1994,1554.8155
190.0,1994,1559.570782
150.0,2430,1609.000064
70.0,1144,1611.755492
110.0,1938,1616.506721
295.0,2812,1623.353586
295.0,2812,1630.070196
295.0,2812,1636.812582
295.0,2812,1643.618997
80.0,1066,1688.87009
270.0,3106,1696.583438
180.0,2156,1744.239085
110.0,1920,1749.112188
110.0,1920,1754.456119
110.0,1920,1759.770523
110.0,1920,1765.145905
715.0,4998,1821.647944
490.0,2872,1828.723702
490.0,2872,1835.848866
490.0,2872,1843.017223
490.0,2872,1850.254388
490.0,2872,1857.340592
260.0,3496,1910.236403
75.0,1188,1913.264125
115.0,2390,1919.091326
170.0,2606,1925.388106
170.0,2606,1931.670894
170.0,2606,1938.001347
170.0,2606,1944.349657
125.0,1518,1948.165505
155.0,1202,1994.064288
165.0,1912,1999.12095
155.0,2740,2005.750888
250.0,2824,2012.580187
250.0,2824,2019.400958
250.0,2824,2026.257265
250.0,2824,2033.087207
410.0,2486,2082.300199
180.0,2756,2133.732882
110.0,1854,2138.298807
110.0,1854,2142.906726
110.0,1854,2147.316164
110.0,1854,2151.774894
255.0,2708,2158.615986
90.0,1150,2203.721856
180.0,1896,2208.382288
320.0,2856,2215.353493
320.0,2856,2222.252219
320.0,2856,2229.050988
320.0,2856,2235.972494
150.0,1530,2239.799936
190.0,2360,2314.659095
125.0,1174,2322.332398
540.0,3262,2344.045861
540.0,3262,2364.667378
540.0,3262,2385.636097
540.0,3262,2406.380231
165.0,1994,2419.380582
185.0,1492,2511.684754
310.0,3124,2533.831706
265.0,3466,2557.301652
265.0,3466,2580.850301
265.0,3466,2604.197767
265.0,3466,2627.316092
170.0,2374,2727.987455
215.0,2358,2744.346884
75.0,1544,2754.470299
240.0,3142,2774.971358
240.0,3142,2796.164246
240.0,3142,2818.144334
240.0,3142,2839.645095
165.0,2002,2938.683068
510.0,3218,3044.827347
180.0,1992,3058.17432
180.0,1992,3071.272925
180.0,1992,3084.256451
180.0,1992,3098.162624
315.0,2828,3117.548192
345.0,2138,3215.713232
525.0,3004,3235.745553
525.0,3004,3256.29784
525.0,3004,3276.430683
525.0,3004,3296.917238
525.0,3004,3317.434359
335.0,2624,3420.620262
285.0,2116,3437.001329
145.0,1940,3451.854326
75.0,1696,3464.53673
75.0,1696,3477.228985
75.0,1696,3489.764567
75.0,1696,3501.669681
225.0,2854,3605.352278
95.0,2034,3619.079232
170.0,1876,3631.789571
185.0,2178,3646.945502
185.0,2178,3661.36835
185.0,2178,3675.598876
185.0,2178,3690.359857
120.0,1988,3788.018682
215.0,2350,3804.183304
405.0,3468,3913.622376
155.0,2708,3931.847813
155.0,2708,3949.689314
155.0,2708,3967.919939
155.0,2708,3985.752927
135.0,1188,3994.234419
110.0,1502,4004.612506
135.0,1946,4101.141209
405.0,3332,4123.463489
270.0,2724,4141.897644
270.0,2724,4159.924358
270.0,2724,4178.476976
270.0,2724,4196.666696
230.0,2270,4212.268398
60.0,1748,4308.405526
330.0,3030,4329.268434
535.0,3166,4350.155503
535.0,3166,4370.896698
535.0,3166,4391.537427
535.0,3166,4412.26335
190.0,1658,4423.380178
130.0,2028,4520.75303
160.0,1902,4533.656641
305.0,2624,4551.126063
305.0,2624,4568.548923
305.0,2624,4585.759552
305.0,2624,4604.063025
540.0,3584,4711.34938
170.0,2402,4717.387146
190.0,1958,4721.855009
190.0,1958,4726.430459
190.0,1958,4730.850458
190.0,1958,4742.358581
225.0,2006,4839.069407
210.0,2554,4944.743791
140.0,2410,4961.035018
140.0,2070,4974.594404
140.0,2070,4988.95624
140.0,2070,5003.083048
140.0,2070,5017.309606
150.0,1950,5031.403953
65.0,1200,5039.188911
265.0,3034,5143.982554
285.0,3562,5168.859639
285.0,3562,5192.434601
285.0,3562,5217.091069
285.0,3562,5241.491949
345.0,2978,5344.735831
90.0,1604,5355.574981
475.0,3014,5376.180089
200.0,1866,5389.389836
200.0,1866,5403.15513
200.0,1866,5417.155369
200.0,1866,5431.63938
220.0,2236,5543.170194
195.0,2316,5552.489062
390.0,2868,5562.371625
185.0,2080,5568.555643
185.0,2080,5574.6565
185.0,2080,5580.589208
185.0,2080,5586.38583
335.0,3792,5645.033948
435.0,2052,5697.822345
335.0,3762,5708.373262
335.0,3762,5719.298136
335.0,3762,5729.81709
335.0,3762,5740.385557
260.0,3538,5750.412768
260.0,2766,5805.687327
195.0,1942,5811.102728
195.0,1942,5816.582347
195.0,1942,5821.883823
195.0,1942,5827.404754
225.0,1994,5833.147854
240.0,3204,5890.247667
335.0,2944,5898.363743
335.0,2944,5906.680505
335.0,2944,5914.880556
335.0,2944,5922.964764
210.0,2592,5977.497012
240.0,2924,5985.829282
530.0,4284,5997.870724
530.0,4284,6009.589019
530.0,4284,6021.498785
530.0,4284,6033.449045
135.0,1248,6082.565496
410.0,2306,6088.539306
135.0,2338,6094.918979
90.0,2000,6100.315244
90.0,2000,6105.619007
90.0,2000,6111.63697
90.0,2000,6118.155992
155.0,1822,6171.255517
155.0,1960,6176.689725
155.0,2138,6229.023401
215.0,2020,6234.820831
215.0,2020,6240.50701
215.0,2020,6246.18188
215.0,2020,6252.570664
165.0,2740,6262.505955
515.0,2960,6315.872788
180.0,1976,6321.3015
180.0,1976,6326.453945
180.0,1976,6331.519359
180.0,1976,6336.661304
225.0,2910,6389.250749
550.0,3256,6397.844302
320.0,4298,6408.712458
320.0,4298,6419.533414
320.0,4298,6430.557007
320.0,4298,6441.956718
155.0,1474,6446.068461
180.0,1484,6495.564369
180.0,1566,6500.301849
135.0,1206,6503.67309
240.0,3014,6511.951404
240.0,3014,6520.364248
240.0,3014,6528.7672
240.0,3014,6537.684197
210.0,1514,6587.585225
105.0,1180,6590.77355
210.0,2580,6643.597368
210.0,2158,6649.317932
210.0,2158,6655.37342
210.0,2158,6660.901577
210.0,2158,6666.518229
65.0,1860,6671.434279
185.0,2056,6676.904771
260.0,2940,6730.147973
180.0,1522,6733.384241
180.0,1522,6736.919973
180.0,1522,6740.255799
180.0,1522,6743.565788
180.0,1522,6746.899401
180.0,1522,6750.185999
180.0,1522,6753.52839
180.0,1522,6756.8513
180.0,1522,6760.173211
