#{"t_start": 1686247872.458438, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
135.0,1940,3235.223077
360.0,2742,3241.812208
155.0,1980,3246.447875
155.0,1980,3251.013201
155.0,1980,3255.663059
155.0,1980,3260.382438
285.0,2458,3266.396087
245.0,3140,3316.315034
285.0,4356,3326.489615
285.0,4356,3336.795705
285.0,4356,3346.883166
285.0,4356,3357.07394
35.0,1208,3359.958477
65.0,1206,3362.820819
160.0,1966,3409.959583
105.0,1464,3413.469671
80.0,1200,3416.278677
80.0,1200,3419.032077
80.0,1200,3421.842968
80.0,1200,3424.640863
125.0,1222,3427.57914
65.0,1204,3472.949187
360.0,3264,3480.871211
370.0,3100,3488.064394
370.0,3100,3495.242588
370.0,3100,3502.485271
370.0,3100,3509.792053
390.0,3894,3561.473867
65.0,1676,3607.576282
180.0,2424,3613.408576
180.0,2424,3619.033746
180.0,2424,3624.777454
180.0,2424,3630.323458
335.0,3770,3639.540918
80.0,1244,3684.520615
65.0,1218,3687.306062
65.0,1218,3690.133054
65.0,1218,3693.006861
65.0,1218,3695.781403
65.0,1218,3698.58075
90.0,1684,3702.744025
135.0,2052,3750.011012
245.0,2272,3755.467712
115.0,2354,3760.980118
115.0,2354,3766.475008
115.0,2354,3772.020281
115.0,2354,3777.542441
75.0,1570,3781.422039
155.0,2468,3829.998428
90.0,1762,3834.214519
120.0,1586,3837.933705
120.0,1586,3841.710909
120.0,1586,3845.378729
120.0,1586,3849.066107
125.0,1568,3895.296495
400.0,2626,3901.682201
655.0,4708,3912.715698
100.0,1596,3916.446804
100.0,1596,3920.195422
100.0,1596,3923.938021
100.0,1596,3927.628813
255.0,2620,3979.459733
610.0,4272,4034.395723
55.0,1240,4037.349894
55.0,1240,4040.192025
55.0,1240,4043.048027
55.0,1240,4045.927999
105.0,1736,4050.066943
320.0,2640,4098.322956
315.0,3000,4105.394594
105.0,1632,4109.186557
105.0,1632,4113.014334
105.0,1632,4116.856365
105.0,1632,4120.697032
105.0,1680,4124.847618
210.0,1770,4171.43652
50.0,1082,4174.086938
80.0,1546,4177.775836
415.0,2562,4183.729867
415.0,2562,4189.826021
415.0,2562,4195.862081
415.0,2562,4201.868093
100.0,1154,4204.691523
135.0,1866,4251.589379
100.0,1160,4254.399812
155.0,1862,4258.790981
110.0,2032,4263.578951
110.0,2032,4268.378542
110.0,2032,4273.141853
110.0,2032,4277.912116
120.0,1466,4324.324831
125.0,1166,4327.075307
195.0,2608,4376.896309
135.0,1950,4381.499506
135.0,1950,4386.189468
135.0,1950,4390.859102
135.0,1950,4395.512082
280.0,2836,4402.550047
90.0,1130,4405.441866
220.0,2434,4463.250916
220.0,2434,4469.25717
220.0,2434,4474.403983
220.0,2434,4479.374
220.0,2434,4484.272053
220.0,2434,4489.13443
220.0,2434,4493.871366
220.0,2434,4498.716231
220.0,2434,4503.595041
220.0,2434,4508.463045
